language,exercise,topic
ruby,hello-world,strings
ruby,two-fer,conditionals
ruby,two-fer,strings
ruby,hamming,equality
ruby,hamming,loops
ruby,hamming,strings
ruby,gigasecond,time
ruby,rna-transcription,maps
ruby,rna-transcription,transforming
ruby,raindrops,conditionals
ruby,raindrops,filtering
ruby,raindrops,strings
ruby,difference-of-squares,algorithms
ruby,difference-of-squares,math
ruby,pangram,loops
ruby,pangram,strings
ruby,sieve,algorithms
ruby,sieve,integers
ruby,sieve,loops
ruby,sieve,math
ruby,sieve,sorting
ruby,roman-numerals,numbers
ruby,roman-numerals,transforming
ruby,nth-prime,algorithms
ruby,nth-prime,integers
ruby,nth-prime,math
ruby,leap,booleans
ruby,leap,conditionals
ruby,leap,integers
ruby,leap,logic
ruby,grains,bitwise_operations
ruby,grains,if_else_statements
ruby,grains,integers
ruby,grains,type_conversion
ruby,word-count,sorting
ruby,word-count,strings
ruby,bob,conditionals
ruby,bob,strings
ruby,run-length-encoding,parsing
ruby,run-length-encoding,strings
ruby,run-length-encoding,transforming
ruby,accumulate,lists
ruby,sum-of-multiples,loops
ruby,sum-of-multiples,math
ruby,grade-school,lists
ruby,grade-school,sorting
ruby,grade-school,structs
ruby,series,arrays
ruby,series,refactoring
ruby,series,strings
ruby,phone-number,conditionals
ruby,phone-number,regular_expressions
ruby,phone-number,strings
ruby,phone-number,text_formatting
ruby,phone-number,transforming
ruby,prime-factors,algorithms
ruby,prime-factors,integers
ruby,prime-factors,math
ruby,strain,arrays
ruby,strain,filtering
ruby,strain,loops
ruby,etl,loops
ruby,etl,maps
ruby,etl,transforming
ruby,beer-song,loops
ruby,beer-song,strings
ruby,beer-song,text_formatting
ruby,bowling,algorithms
ruby,bowling,arrays
ruby,bowling,conditionals
ruby,space-age,floating_point_numbers
ruby,space-age,if_else_statements
ruby,anagram,filtering
ruby,anagram,parsing
ruby,anagram,sorting
ruby,anagram,strings
ruby,binary-search-tree,algorithms
ruby,binary-search-tree,recursion
ruby,binary-search-tree,searching
ruby,binary-search-tree,sorting
ruby,binary-search-tree,structs
ruby,binary-search-tree,trees
ruby,crypto-square,cryptography
ruby,crypto-square,filtering
ruby,crypto-square,strings
ruby,crypto-square,text_formatting
ruby,crypto-square,transforming
ruby,clock,equality
ruby,clock,text_formatting
ruby,clock,time
ruby,alphametics,algorithms
ruby,alphametics,arrays
ruby,alphametics,searching
ruby,rail-fence-cipher,algorithms
ruby,rail-fence-cipher,cryptography
ruby,rail-fence-cipher,loops
ruby,rail-fence-cipher,sorting
ruby,rail-fence-cipher,strings
ruby,rail-fence-cipher,text_formatting
ruby,rail-fence-cipher,transforming
ruby,acronym,regular_expressions
ruby,acronym,strings
ruby,acronym,transforming
ruby,scrabble-score,loops
ruby,scrabble-score,maps
ruby,scrabble-score,strings
ruby,nucleotide-count,maps
ruby,nucleotide-count,parsing
ruby,nucleotide-count,strings
ruby,flatten-array,arrays
ruby,flatten-array,recursion
ruby,say,numbers
ruby,say,strings
ruby,say,text_formatting
ruby,say,transforming
ruby,meetup,dates
ruby,meetup,time
ruby,meetup,transforming
ruby,meetup,type_conversion
ruby,robot-name,randomness
ruby,queen-attack,booleans
ruby,queen-attack,errors
ruby,queen-attack,games
ruby,queen-attack,logic
ruby,palindrome-products,algorithms
ruby,palindrome-products,math
ruby,bracket-push,parsing
ruby,bracket-push,strings
ruby,food-chain,conditionals
ruby,food-chain,loops
ruby,food-chain,recursion
ruby,food-chain,strings
ruby,food-chain,text_formatting
ruby,matrix,arrays
ruby,matrix,exception_handling
ruby,matrix,matrices
ruby,matrix,strings
ruby,matrix,type_conversion
ruby,saddle-points,arrays
ruby,saddle-points,integers
ruby,saddle-points,matrices
ruby,saddle-points,searching
ruby,triangle,booleans
ruby,triangle,conditionals
ruby,triangle,logic
ruby,atbash-cipher,algorithms
ruby,atbash-cipher,cryptography
ruby,atbash-cipher,strings
ruby,atbash-cipher,transforming
ruby,house,recursion
ruby,house,strings
ruby,house,text_formatting
ruby,secret-handshake,arrays
ruby,secret-handshake,bitwise_operations
ruby,secret-handshake,integers
ruby,proverb,arrays
ruby,proverb,loops
ruby,proverb,strings
ruby,ocr-numbers,parsing
ruby,ocr-numbers,pattern_recognition
ruby,pig-latin,conditionals
ruby,pig-latin,strings
ruby,pig-latin,transforming
ruby,simple-linked-list,arrays
ruby,simple-linked-list,loops
ruby,luhn,algorithms
ruby,luhn,integers
ruby,luhn,strings
ruby,simple-cipher,algorithms
ruby,simple-cipher,cryptography
ruby,simple-cipher,interfaces
ruby,simple-cipher,strings
ruby,simple-cipher,transforming
ruby,wordy,conditionals
ruby,wordy,integers
ruby,wordy,parsing
ruby,wordy,strings
ruby,wordy,type_conversion
ruby,allergies,bitwise_operations
ruby,allergies,enumeration
ruby,poker,equality
ruby,poker,games
ruby,poker,parsing
ruby,poker,pattern_matching
ruby,poker,sequences
ruby,poker,strings
ruby,kindergarten-garden,parsing
ruby,kindergarten-garden,records
ruby,kindergarten-garden,searching
ruby,kindergarten-garden,strings
ruby,kindergarten-garden,structs
ruby,largest-series-product,algorithms
ruby,largest-series-product,integers
ruby,largest-series-product,math
ruby,largest-series-product,sequences
ruby,pythagorean-triplet,algorithms
ruby,pythagorean-triplet,math
ruby,scale-generator,pattern_matching
ruby,scale-generator,strings
ruby,protein-translation,filtering
ruby,protein-translation,maps
ruby,protein-translation,sequences
ruby,perfect-numbers,algorithms
ruby,perfect-numbers,filtering
ruby,perfect-numbers,integers
ruby,perfect-numbers,math
ruby,isogram,sequences
ruby,isogram,strings
ruby,isogram,regular_expressions
ruby,circular-buffer,queues
ruby,circular-buffer,structs
ruby,diamond,algorithms
ruby,diamond,conditionals
ruby,diamond,loops
ruby,diamond,strings
ruby,diamond,text_formatting
ruby,custom-set,filtering
ruby,custom-set,loops
ruby,custom-set,sets
ruby,twelve-days,algorithms
ruby,twelve-days,pattern_recognition
ruby,twelve-days,sequences
ruby,twelve-days,strings
ruby,twelve-days,text_formatting
ruby,transpose,loops
ruby,transpose,strings
ruby,transpose,transforming
ruby,pascals-triangle,algorithms
ruby,pascals-triangle,arrays
ruby,pascals-triangle,math
ruby,pascals-triangle,recursion
ruby,linked-list,data_structure
ruby,linked-list,pointer
ruby,binary-search,algorithms
ruby,binary-search,arrays
ruby,binary-search,searching
ruby,binary-search,sorting
ruby,tournament,integers
ruby,tournament,parsing
ruby,tournament,records
ruby,tournament,sorting
ruby,tournament,strings
ruby,tournament,text_formatting
ruby,tournament,transforming
ruby,minesweeper,arrays
ruby,minesweeper,games
ruby,minesweeper,loops
ruby,minesweeper,matrices
ruby,minesweeper,transforming
ruby,robot-simulator,concurrency
ruby,robot-simulator,loops
ruby,robot-simulator,sequences
ruby,robot-simulator,strings
ruby,robot-simulator,structs
ruby,all-your-base,integers
ruby,all-your-base,math
ruby,all-your-base,transforming
ruby,connect,arrays
ruby,connect,games
ruby,connect,graphs
ruby,connect,loops
ruby,connect,searching
ruby,change,algorithms
ruby,change,arrays
ruby,change,loops
ruby,change,searching
ruby,collatz-conjecture,conditionals
ruby,collatz-conjecture,control_flow_loops
ruby,collatz-conjecture,integers
ruby,collatz-conjecture,math
ruby,book-store,algorithms
ruby,book-store,floating_point_numbers
ruby,book-store,integers
ruby,book-store,lists
ruby,rotational-cipher,cryptography
ruby,rotational-cipher,integers
ruby,rotational-cipher,strings
ruby,isbn-verifier,arrays
ruby,dominoes,algorithms
ruby,dominoes,arrays
ruby,dominoes,searching
ruby,two-bucket,algorithms
ruby,two-bucket,conditionals
ruby,two-bucket,searching
ruby,list-ops,functional_programming
ruby,list-ops,lists
ruby,list-ops,recursion
ruby,list-ops,type_conversion
ruby,affine-cipher,cryptography
ruby,affine-cipher,math
ruby,affine-cipher,strings
ruby,complex-numbers,math
ruby,zipper,data_structures
java,hello-world,strings
java,two-fer,conditionals
java,two-fer,strings
java,reverse-string,strings
java,armstrong-numbers,integers
java,armstrong-numbers,math
java,rna-transcription,loops
java,rna-transcription,maps
java,rna-transcription,strings
java,pangram,pattern_matching
java,pangram,regular_expressions
java,pangram,strings
java,hamming,integers
java,hamming,loops
java,hamming,strings
java,gigasecond,dates
java,gigasecond,integers
java,gigasecond,time
java,space-age,conditionals
java,space-age,floating_point_numbers
java,acronym,loops
java,acronym,parsing
java,acronym,searching
java,acronym,strings
java,scrabble-score,games
java,scrabble-score,loops
java,scrabble-score,pattern_matching
java,scrabble-score,strings
java,scrabble-score,transforming
java,raindrops,conditionals
java,raindrops,integers
java,raindrops,strings
java,difference-of-squares,integers
java,difference-of-squares,loops
java,difference-of-squares,math
java,secret-handshake,bitwise_operations
java,secret-handshake,conditionals
java,secret-handshake,cryptography
java,secret-handshake,enumerations
java,secret-handshake,integers
java,secret-handshake,loops
java,secret-handshake,transforming
java,perfect-numbers,enumerations
java,perfect-numbers,exception_handling
java,perfect-numbers,filtering
java,perfect-numbers,integers
java,perfect-numbers,math
java,protein-translation,arrays
java,protein-translation,conditionals
java,protein-translation,loops
java,protein-translation,strings
java,proverb,arrays
java,proverb,loops
java,proverb,strings
java,isbn-verifier,integers
java,isbn-verifier,loops
java,isbn-verifier,strings
java,sum-of-multiples,arrays
java,sum-of-multiples,conditionals
java,sum-of-multiples,integers
java,sum-of-multiples,loops
java,sum-of-multiples,math
java,luhn,algorithms
java,luhn,booleans
java,luhn,loops
java,luhn,strings
java,luhn,type_conversion
java,matrix,arrays
java,matrix,integers
java,matrix,loops
java,matrix,pattern_matching
java,matrix,strings
java,matrix,type_conversion
java,triangle,booleans
java,triangle,classes
java,triangle,exception_handling
java,largest-series-product,integers
java,largest-series-product,loops
java,largest-series-product,math
java,largest-series-product,strings
java,largest-series-product,type_conversion
java,sieve,algorithms
java,sieve,integers
java,sieve,lists
java,sieve,loops
java,sieve,math
java,twelve-days,arrays
java,twelve-days,conditionals
java,twelve-days,loops
java,twelve-days,strings
java,rotational-cipher,cryptography
java,rotational-cipher,integers
java,rotational-cipher,strings
java,kindergarten-garden,arrays
java,kindergarten-garden,enumerations
java,kindergarten-garden,lists
java,kindergarten-garden,logic
java,kindergarten-garden,loops
java,kindergarten-garden,pattern_recognition
java,kindergarten-garden,strings
java,collatz-conjecture,conditionals
java,collatz-conjecture,exception_handling
java,collatz-conjecture,integers
java,collatz-conjecture,math
java,collatz-conjecture,recursion
java,nth-prime,arrays
java,nth-prime,exception_handling
java,nth-prime,integers
java,nth-prime,lists
java,nth-prime,loops
java,nth-prime,math
java,saddle-points,arrays
java,saddle-points,conditionals
java,saddle-points,integers
java,saddle-points,lists
java,saddle-points,loops
java,saddle-points,matrices
java,saddle-points,sets
java,error-handling,exception_handling
java,error-handling,optional_values
java,diamond,arrays
java,diamond,lists
java,diamond,loops
java,diamond,strings
java,diamond,text_formatting
java,isogram,conditionals
java,isogram,loops
java,isogram,parsing
java,isogram,strings
java,variable-length-quantity,bitwise_operations
java,variable-length-quantity,conditionals
java,variable-length-quantity,exception_handling
java,variable-length-quantity,lists
java,variable-length-quantity,loops
java,variable-length-quantity,transforming
java,flatten-array,arrays
java,flatten-array,lists
java,flatten-array,loops
java,flatten-array,recursion
java,pig-latin,arrays
java,pig-latin,lists
java,pig-latin,strings
java,pig-latin,transforming
java,phone-number,conditionals
java,phone-number,pattern_matching
java,phone-number,regular_expressions
java,phone-number,strings
java,nucleotide-count,conditionals
java,nucleotide-count,exception_handling
java,nucleotide-count,integers
java,nucleotide-count,maps
java,nucleotide-count,parsing
java,nucleotide-count,searching
java,nucleotide-count,strings
java,word-count,conditionals
java,word-count,integers
java,word-count,loops
java,word-count,maps
java,word-count,strings
java,run-length-encoding,integers
java,run-length-encoding,pattern_matching
java,run-length-encoding,strings
java,run-length-encoding,transforming
java,robot-name,pattern_matching
java,robot-name,randomness
java,robot-name,regular_expressions
java,robot-name,strings
java,robot-name,text_formatting
java,prime-factors,arrays
java,prime-factors,conditionals
java,prime-factors,integers
java,prime-factors,lists
java,prime-factors,loops
java,prime-factors,math
java,allergies,booleans
java,allergies,conditionals
java,allergies,enumerations
java,allergies,integers
java,allergies,lists
java,allergies,loops
java,bob,booleans
java,bob,conditionals
java,bob,strings
java,pascals-triangle,algorithms
java,pascals-triangle,arrays
java,pascals-triangle,exception_handling
java,pascals-triangle,integers
java,pascals-triangle,math
java,pascals-triangle,matrices
java,bracket-push,stacks
java,bracket-push,strings
java,series,conditionals
java,series,lists
java,series,loops
java,series,strings
java,series,type_conversion
java,atbash-cipher,cryptography
java,atbash-cipher,security
java,atbash-cipher,strings
java,grep,files
java,grep,filtering
java,grep,pattern_matching
java,grep,searching
java,grep,strings
java,alphametics,conditionals
java,alphametics,logic
java,spiral-matrix,arrays
java,spiral-matrix,integers
java,spiral-matrix,loops
java,spiral-matrix,matrices
java,roman-numerals,integers
java,roman-numerals,logic
java,roman-numerals,loops
java,roman-numerals,maps
java,roman-numerals,strings
java,transpose,arrays
java,transpose,lists
java,transpose,loops
java,transpose,matrices
java,transpose,strings
java,transpose,text_formatting
java,house,arrays
java,house,conditionals
java,house,loops
java,house,strings
java,house,text_formatting
java,food-chain,arrays
java,food-chain,lists
java,food-chain,strings
java,beer-song,conditionals
java,beer-song,loops
java,beer-song,strings
java,beer-song,text_formatting
java,beer-song,variables
java,queen-attack,arrays
java,queen-attack,classes
java,queen-attack,conditionals
java,queen-attack,games
java,queen-attack,matrices
java,etl,lists
java,etl,maps
java,etl,transforming
java,grade-school,conditionals
java,grade-school,lists
java,grade-school,maps
java,grade-school,sorting
java,grade-school,strings
java,robot-simulator,classes
java,robot-simulator,enumerations
java,robot-simulator,logic
java,robot-simulator,loops
java,binary-search,arrays
java,binary-search,generics
java,binary-search,recursion
java,binary-search,searching
java,minesweeper,conditionals
java,minesweeper,games
java,minesweeper,integers
java,minesweeper,lists
java,minesweeper,matrices
java,minesweeper,strings
java,wordy,exception_handling
java,wordy,integers
java,wordy,logic
java,wordy,parsing
java,wordy,pattern_matching
java,wordy,regular_expressions
java,wordy,strings
java,wordy,transforming
java,all-your-base,arrays
java,all-your-base,conditionals
java,all-your-base,exception_handling
java,all-your-base,integers
java,all-your-base,loops
java,all-your-base,math
java,bank-account,concurrency
java,bank-account,exception_handling
java,bank-account,integers
java,bowling,conditionals
java,bowling,exception_handling
java,bowling,games
java,bowling,integers
java,linked-list,algorithms
java,linked-list,generics
java,linked-list,lists
java,tournament,loops
java,tournament,maps
java,tournament,parsing
java,tournament,sorting
java,tournament,text_formatting
java,parallel-letter-frequency,concurrency
java,parallel-letter-frequency,maps
java,parallel-letter-frequency,strings
java,rail-fence-cipher,conditionals
java,rail-fence-cipher,loops
java,rail-fence-cipher,strings
java,two-bucket,algorithms
java,two-bucket,conditionals
java,two-bucket,loops
java,anagram,arrays
java,anagram,conditionals
java,anagram,equality
java,anagram,lists
java,anagram,loops
java,anagram,strings
java,sublist,enumeration
java,sublist,generics
java,sublist,lists
java,sublist,loops
java,sublist,searching
java,word-search,games
java,word-search,logic
java,word-search,matrices
java,word-search,pattern_matching
java,word-search,searching
java,word-search,strings
java,simple-linked-list,algorithms
java,simple-linked-list,exception_handling
java,simple-linked-list,generics
java,simple-linked-list,lists
java,binary-search-tree,generics
java,binary-search-tree,graphs
java,binary-search-tree,searching
java,binary-search-tree,sorting
java,binary-search-tree,trees
java,meetup,conditionals
java,meetup,dates
java,meetup,enumerations
java,meetup,loops
java,crypto-square,cryptography
java,crypto-square,lists
java,crypto-square,security
java,crypto-square,strings
java,crypto-square,text_formatting
java,markdown,conditionals
java,markdown,pattern_matching
java,markdown,refactoring
java,markdown,strings
java,poker,games
java,poker,parsing
java,poker,sorting
java,clock,equality
java,clock,integers
java,clock,logic
java,clock,object_oriented_programming
java,clock,strings
java,clock,time
java,zipper,integer
java,zipper,links
java,zipper,nodes
java,zipper,tree
java,go-counting,algorithms
java,go-counting,conditionals
java,go-counting,games
java,go-counting,loops
java,dominoes,algorithms
java,dominoes,exception_handling
java,dominoes,games
java,dominoes,lists
java,ocr-numbers,exception_handling
java,ocr-numbers,lists
java,ocr-numbers,loops
java,ocr-numbers,parsing
java,ocr-numbers,strings
java,circular-buffer,classes
java,circular-buffer,exception_handling
java,circular-buffer,queues
java,rectangles,arrays
java,rectangles,logic
java,rectangles,pattern_recognition
java,rectangles,strings
java,book-store,algorithms
java,book-store,floating_point_numbers
java,book-store,integers
java,book-store,lists
java,diffie-hellman,algorithms
java,diffie-hellman,integers
java,diffie-hellman,math
java,diffie-hellman,transforming
java,simple-cipher,cryptography
java,simple-cipher,exception_handling
java,simple-cipher,randomness
java,simple-cipher,security
java,simple-cipher,strings
java,complex-numbers,floating_point_numbers
java,complex-numbers,math
java,rational-numbers,algorithms
java,rational-numbers,floating_point_numbers
java,rational-numbers,math
java,list-ops,filtering
java,list-ops,functional_programming
java,list-ops,generics
java,list-ops,lists
java,list-ops,loops
java,change,algorithms
java,change,exception_handling
java,change,integers
java,change,lists
java,palindrome-products,conditionals
java,palindrome-products,integers
java,palindrome-products,lists
java,palindrome-products,loops
java,palindrome-products,maps
java,palindrome-products,math
java,pythagorean-triplet,integer
java,pythagorean-triplet,lists
java,pythagorean-triplet,logic
java,pythagorean-triplet,math
java,forth,exception_handling
java,forth,lists
java,forth,logic
java,forth,parsing
java,forth,stacks
java,forth,strings
java,custom-set,equality
java,custom-set,generics
java,custom-set,sets
coffeescript,hello-world,conditionals
coffeescript,hello-world,control_flow_if_statements
coffeescript,hello-world,optional_values
coffeescript,hello-world,text_formatting
coffeescript,bob,conditionals
coffeescript,bob,control_flow_switch
coffeescript,bob,text_formatting
coffeescript,word-count,maps
coffeescript,word-count,strings
coffeescript,word-count,text_formatting
coffeescript,word-count,transforming
coffeescript,word-count,variables
coffeescript,accumulate,arrays
coffeescript,accumulate,maps
coffeescript,accumulate,transforming
coffeescript,binary,integers
coffeescript,binary,math
coffeescript,binary,transforming
coffeescript,anagram,sorting
coffeescript,anagram,strings
coffeescript,anagram,text_formatting
coffeescript,trinary,integers
coffeescript,trinary,math
coffeescript,trinary,transforming
coffeescript,hexadecimal,integers
coffeescript,hexadecimal,math
coffeescript,hexadecimal,transforming
coffeescript,triangle,arrays
coffeescript,triangle,equality
coffeescript,luhn,algorithms
coffeescript,luhn,arrays
coffeescript,luhn,integers
coffeescript,luhn,pattern_recognition
coffeescript,binary-search-tree,algorithms
coffeescript,binary-search-tree,arrays
coffeescript,binary-search-tree,integers
coffeescript,binary-search-tree,trees
coffeescript,nth-prime,arrays
coffeescript,nth-prime,filter
coffeescript,nth-prime,loops
coffeescript,nth-prime,map
coffeescript,nth-prime,math
coffeescript,palindrome-products,arrays
coffeescript,palindrome-products,integers
coffeescript,palindrome-products,math
coffeescript,queen-attack,algorithms
coffeescript,queen-attack,arrays
coffeescript,queen-attack,games
coffeescript,queen-attack,logic
coffeescript,wordy,integers
coffeescript,wordy,pattern_recognition
coffeescript,wordy,regular_expressions
coffeescript,wordy,strings
coffeescript,clock,integers
coffeescript,clock,loops
coffeescript,clock,text_formatting
coffeescript,beer-song,control_flow_switch
coffeescript,beer-song,loops
coffeescript,beer-song,text_formatting
coffeescript,atbash-cipher,arrays
coffeescript,atbash-cipher,cryptography
coffeescript,atbash-cipher,strings
coffeescript,atbash-cipher,text_formatting
coffeescript,linked-list,algorithms
coffeescript,linked-list,classes
coffeescript,linked-list,object_oriented_programming
coffeescript,linked-list,variables
coffeescript,pascals-triangle,algorithms
coffeescript,pascals-triangle,arrays
coffeescript,pascals-triangle,integers
coffeescript,pascals-triangle,math
coffeescript,nucleotide-count,filtering
coffeescript,nucleotide-count,maps
coffeescript,nucleotide-count,strings
elixir,hello-world,strings
elixir,nucleotide-count,enumerables
elixir,nucleotide-count,maps
elixir,nucleotide-count,string_processing
elixir,secret-handshake,binary_representation
elixir,rotational-cipher,string_processing
elixir,strain,collections
elixir,protein-translation,pattern_matching
elixir,protein-translation,string_processing
elixir,pig-latin,pattern_matching
elixir,pig-latin,string_processing
elixir,space-age,pattern_matching
elixir,bob,control_flow
elixir,bob,string_processing
elixir,twelve-days,enumerations
elixir,twelve-days,reduce
elixir,twelve-days,string_formatting
elixir,word-count,lists
elixir,word-count,maps
elixir,word-count,reduce
elixir,accumulate,recursion
elixir,accumulate,reduce
elixir,acronym,string_processing
elixir,series,string_processing
elixir,raindrops,conditionals
elixir,run-length-encoding,algorithms
elixir,run-length-encoding,strings
elixir,sublist,enumeration
elixir,sublist,lists
elixir,scrabble-score,reduce
elixir,sum-of-multiples,algorithms
elixir,sum-of-multiples,math
elixir,sum-of-multiples,reduce
elixir,pangram,enumerations
elixir,pangram,strings
elixir,simple-linked-list,recursion
elixir,anagram,enumeration
elixir,anagram,filter
elixir,matrix,string_processing
elixir,matrix,structs
elixir,bracket-push,algorithms
elixir,bracket-push,enumeration
elixir,bracket-push,reduce
elixir,rna-transcription,strings
elixir,phone-number,pattern_matching
elixir,phone-number,string_processing
elixir,nth-prime,algorithms
elixir,nth-prime,math
elixir,nth-prime,recursion
elixir,roman-numerals,algorithms
elixir,roman-numerals,pattern_matching
elixir,all-your-base,math
elixir,all-your-base,numbers
elixir,all-your-base,translation
elixir,hamming,string_processing
elixir,triangle,algorithms
elixir,beer-song,pattern_matching
elixir,beer-song,recursion
elixir,isogram,algorithms
elixir,isogram,reduce
elixir,grade-school,maps
elixir,tournament,formatting
elixir,tournament,sorting
elixir,tournament,string_processing
elixir,list-ops,enumeration
elixir,list-ops,lists
elixir,list-ops,recursion
elixir,flatten-array,lists
elixir,flatten-array,recursion
elixir,leap,algorithms
elixir,kindergarten-garden,string_processing
elixir,etl,enumeration
elixir,etl,string_processing
elixir,meetup,calendar
elixir,meetup,pattern_matching
elixir,meetup,time
elixir,grains,recursion
elixir,grains,reduce
elixir,change,enumeration
elixir,change,reduce
elixir,parallel-letter-frequency,concurrency
elixir,parallel-letter-frequency,otp
elixir,binary,binary_operators
elixir,binary,math
elixir,scale-generator,enumerations
elixir,scale-generator,string_processing
elixir,luhn,enumeration
elixir,luhn,string_processing
elixir,markdown,refactoring
elixir,gigasecond,calendar
elixir,gigasecond,time
elixir,queen-attack,algorithms
elixir,queen-attack,structs
elixir,pascals-triangle,algorithms
elixir,pascals-triangle,enumeration
elixir,pascals-triangle,math
elixir,saddle-points,enumeration
elixir,saddle-points,matricies
elixir,saddle-points,string_processing
elixir,hexadecimal,math
elixir,hexadecimal,numbers
elixir,hexadecimal,string_processing
elixir,diamond,algorithms
elixir,diamond,enumeration
elixir,binary-search,algorithms
elixir,binary-search,recursion
elixir,binary-search-tree,algorithms
elixir,binary-search-tree,trees
elixir,prime-factors,math
elixir,prime-factors,pattern_matching
elixir,prime-factors,recursion
elixir,perfect-numbers,enumeration
elixir,perfect-numbers,math
elixir,perfect-numbers,pattern_matching
elixir,diffie-hellman,math
elixir,sieve,enumeration
elixir,sieve,math
elixir,wordy,parsers
elixir,robot-simulator,otp
elixir,robot-simulator,pattern_matching
elixir,robot-simulator,structs
elixir,atbash-cipher,encryption
elixir,simple-cipher,encryption
elixir,simple-cipher,string_processing
elixir,bank-account,otp
elixir,largest-series-product,enumeration
elixir,largest-series-product,math
elixir,largest-series-product,recursion
elixir,crypto-square,algorithms
elixir,crypto-square,encryption
elixir,pythagorean-triplet,algorithms
elixir,pythagorean-triplet,math
elixir,pythagorean-triplet,reduce
elixir,allergies,binary_operators
elixir,allergies,enumeration
elixir,palindrome-products,math
elixir,palindrome-products,reduce
elixir,rail-fence-cipher,encryption
elixir,rail-fence-cipher,string_processing
elixir,zipper,algorithms
elixir,zipper,recursion
elixir,zipper,structs
elixir,zipper,trees
elixir,minesweeper,algorithms
elixir,minesweeper,enumeration
elixir,minesweeper,reduce
elixir,connect,reduce
elixir,connect,string_processing
elixir,difference-of-squares,math
elixir,difference-of-squares,reduce
elixir,poker,sorting
elixir,bowling,algorithms
elixir,bowling,pattern_matching
elixir,bowling,structs
elixir,dot-dsl,graphs
elixir,dot-dsl,structs
elixir,custom-set,collections
elixir,custom-set,enumeration
elixir,forth,parsers
elixir,clock,integers
elixir,clock,logic
elixir,clock,protocols
elixir,clock,structs
elixir,clock,transforming
elixir,grep,enumerations
elixir,grep,strings
elixir,say,pattern_matching
elixir,ocr-numbers,enumerations
elixir,ocr-numbers,strings
elixir,collatz-conjecture,math
elixir,collatz-conjecture,recursion
elixir,dominoes,algorithms
elixir,dominoes,enumerations
elixir,dominoes,recursion
elixir,dominoes,sorting
elixir,dominoes,trees
elixir,transpose,strings
elixir,transpose,transforming
elixir,isbn-verifier,string_processing
elixir,spiral-matrix,lists
elixir,spiral-matrix,transforming
elixir,alphametics,algorithms
elixir,alphametics,backtracking
elixir,alphametics,strings
elixir,two-fer,strings
elixir,armstrong-numbers,algorithms
elixir,armstrong-numbers,math
DEPRECATED.javascript,hello-world,control_flow_conditionals
DEPRECATED.javascript,hello-world,optional_values
DEPRECATED.javascript,hello-world,strings
DEPRECATED.javascript,hello-world,text_formatting
DEPRECATED.javascript,two-fer,control_flow_conditionals
DEPRECATED.javascript,two-fer,strings
DEPRECATED.javascript,leap,booleans
DEPRECATED.javascript,leap,integers
DEPRECATED.javascript,leap,logic
DEPRECATED.javascript,reverse-string,for
DEPRECATED.javascript,reverse-string,loops
DEPRECATED.javascript,reverse-string,strings
DEPRECATED.javascript,rna-transcription,strings
DEPRECATED.javascript,rna-transcription,transforming
DEPRECATED.javascript,simple-cipher,algorithms
DEPRECATED.javascript,simple-cipher,control_flow_conditionals
DEPRECATED.javascript,simple-cipher,control_flow_loops
DEPRECATED.javascript,simple-cipher,mathematics
DEPRECATED.javascript,simple-cipher,randomness
DEPRECATED.javascript,simple-cipher,strings
DEPRECATED.javascript,simple-cipher,text_formatting
DEPRECATED.javascript,simple-cipher,transforming
DEPRECATED.javascript,pangram,algorithms
DEPRECATED.javascript,pangram,control_flow_conditionals
DEPRECATED.javascript,pangram,control_flow_loops
DEPRECATED.javascript,pangram,lists
DEPRECATED.javascript,pangram,maps
DEPRECATED.javascript,pangram,searching
DEPRECATED.javascript,pangram,strings
DEPRECATED.javascript,bob,control_flow_conditionals
DEPRECATED.javascript,bob,pattern_recognition
DEPRECATED.javascript,bob,polymorfism
DEPRECATED.javascript,bob,regular_expressions
DEPRECATED.javascript,bob,strings
DEPRECATED.javascript,bob,unicode
DEPRECATED.javascript,gigasecond,time
DEPRECATED.javascript,space-age,classes
DEPRECATED.javascript,space-age,floating_point_numbers
DEPRECATED.javascript,space-age,mathematics
DEPRECATED.javascript,binary,control_flow_conditionals
DEPRECATED.javascript,binary,control_flow_loops
DEPRECATED.javascript,binary,exception_handling
DEPRECATED.javascript,binary,integers
DEPRECATED.javascript,binary,mathematics
DEPRECATED.javascript,binary,regular_expressions
DEPRECATED.javascript,binary,strings
DEPRECATED.javascript,prime-factors,algorithms
DEPRECATED.javascript,prime-factors,control_flow_conditionals
DEPRECATED.javascript,prime-factors,control_flow_loops
DEPRECATED.javascript,prime-factors,integers
DEPRECATED.javascript,prime-factors,mathematics
DEPRECATED.javascript,matrix,arrays
DEPRECATED.javascript,matrix,control_flow_conditionals
DEPRECATED.javascript,matrix,control_flow_loops
DEPRECATED.javascript,matrix,data_structures
DEPRECATED.javascript,matrix,matrices
DEPRECATED.javascript,matrix,text_formatting
DEPRECATED.javascript,linked-list,algorithms
DEPRECATED.javascript,linked-list,arrays
DEPRECATED.javascript,linked-list,control_flow_conditionals
DEPRECATED.javascript,linked-list,control_flow_loops
DEPRECATED.javascript,linked-list,data_structures
DEPRECATED.javascript,linked-list,lists
DEPRECATED.javascript,linked-list,optional_values
DEPRECATED.javascript,pascals-triangle,control_flow_conditionals
DEPRECATED.javascript,pascals-triangle,control_flow_loops
DEPRECATED.javascript,pascals-triangle,mathematics
DEPRECATED.javascript,pascals-triangle,strings
