exercise,language,topic
beer-song,c,control_flow_loops
beer-song,c,strings
raindrops,c,control_flow_if_else_statements
raindrops,c,strings
bob,c,control_flow_if_else_statements
bob,c,strings
difference-of-squares,c,control_flow_loops
difference-of-squares,c,math
sum-of-multiples,c,control_flow_case_statements
sum-of-multiples,c,control_flow_loops
sum-of-multiples,c,math
binary-search,c,arrays
binary-search,c,control_flow_if_else_statements
binary-search,c,control_flow_loops
binary-search,c,searching
anagram,c,filtering
anagram,c,strings
anagram,c,structs
roman-numerals,c,arrays
roman-numerals,c,control_flow_loops
roman-numerals,c,memory_management
roman-numerals,c,strings
roman-numerals,c,structs
allergies,c,control_flow_if_statements
allergies,c,control_flow_loops
allergies,c,memory_management
allergies,c,structs
atbash-cipher,c,control_flow_if_else_statements
